,Promedio,Reprobadas Primer Semestre,Inscritas,Bajas,Espera Aprobar,Sueño,Ejercicio,Tiempo Total,Usa Metro,Línea,Estación Fin,Tiempo Metro PostP,Alumno PreP,Misma Ruta,Tiempo Metro PreP,Estación,Distancia
188,8.3,2,6,0,3,7,Entre 1 y 2,50,No,,,,,,,,0.0
189,8.0,1,5,1,Todas,7,Más de 4,130,Sí,9,Universidad,70.0,Sí,Si,60.0,Pantitlán,19.757
190,8.2,1,5,1,4,8,Ninguno,30,No,,,,,,,,0.0
191,9.6,2,5,0,Todas,6,Entre 1 y 2,90,No,,,,,,,,0.0
192,7.6,0,4,0,Todas,6,Ninguno,60,No,,,,,,,,0.0
193,8.4,0,Más de 6,1,Todas,6,Más de 4,110,No,,,,,,,,0.0
194,8.1,2,5,1,2,5,Entre 1 y 2,80,Sí,4,Universidad,60.0,Sí,No usaba Metro,,Talismán,21.13
195,7.6,1,3,0,Todas,4,Ninguno,90,Sí,3,Universidad,40.0,Sí,Si,40.0,Hidalgo,13.951
196,7.4,1,3,1,Todas,7,Entre 1 y 2,80,Sí,B,Universidad,50.0,No,,,Buenavista,15.474
197,8.9,3,6,0,3,5,Entre 1 y 2,70,No,,,,,,,,0.0
198,8.6,2,5,0,Todas,6,Entre 1 y 2,130,Sí,5,Universidad,70.0,No,,,Politécnico,21.27
199,8.9,2,6,0,4,7,Ninguno,90,Sí,9,Universidad,60.0,Sí,Usaba otra ruta,,Pantitlán,19.757
200,8.6,0,5,0,4,8,Ninguno,60,No,,,,,,,,0.0
201,8.4,2,5,0,3,5,Ninguno,60,No,,,,,,,,0.0
202,9.0,1,6,0,2,6,Entre 1 y 2,90,Sí,3,Universidad,60.0,Sí,Si,50.0,Deportivo 18 de Marzo,19.962
203,9.2,0,6,0,Todas,6,Ninguno,110,Sí,B,Universidad,70.0,No,,,Ciudad Azteca,33.797
